ts,avail_mb,used_mb,ovms_ws_mb,python_ws_mb_total,cpu_pct
12:12:17,11731,20345,0,12932,11
12:20:22,3908,28168,13041,54,30
12:20:27,3851,28225,13042,54,24
12:20:33,3833,28242,13042,54,23
12:20:38,3819,28257,13042,54,34
12:20:43,3794,28281,13066,54,26
12:20:49,3773,28302,13066,54,31
12:20:54,3756,28319,13066,54,33
12:21:00,3735,28341,13066,54,31
12:21:05,3717,28358,13066,54,23
12:21:10,3706,28369,13066,54,28
12:21:16,3689,28386,13066,54,18
12:21:21,3681,28394,13034,54,30
12:21:27,3661,28415,13034,54,34
12:21:32,3633,28443,13034,54,20
12:21:37,3616,28459,13034,54,24
12:21:43,3603,28472,13034,54,22
12:21:48,3595,28480,13034,54,18
12:21:54,3567,28508,13034,54,21
12:21:59,3549,28526,13034,54,24
12:22:05,3494,28581,13034,54,27
12:22:10,3471,28605,13034,54,35
12:22:15,3437,28639,13035,54,50
12:22:21,3417,28659,13035,54,26
12:22:26,3398,28677,13035,54,23
12:22:32,3407,28669,13035,54,20
12:22:37,3372,28703,13035,54,29
12:22:42,3366,28709,13035,54,19
12:22:48,3355,28720,13035,54,21
12:22:53,3337,28738,13035,54,20
12:22:59,3327,28748,13035,54,24
12:23:04,3292,28783,13043,54,18
12:23:10,3254,28821,13045,54,18
12:23:15,3237,28838,13045,54,22
12:23:20,3232,28844,13045,54,31
12:23:26,3215,28860,13045,54,50
12:23:31,3197,28878,13045,54,32
12:23:37,3167,28908,13045,54,24
12:23:42,3149,28927,13045,54,29
12:23:47,3115,28960,13045,54,36
12:23:53,3052,29023,13045,54,55
12:23:58,3041,29034,13045,54,22
12:24:04,3023,29053,13045,54,40
12:24:09,3020,29056,13013,54,46
12:24:15,2991,29084,13013,54,32
12:24:20,2973,29102,13013,54,34
12:24:25,2970,29105,13013,54,28
12:24:31,2937,29138,13013,54,29
12:24:36,2914,29161,13013,54,37
12:24:42,2901,29174,13013,54,22
12:24:47,2881,29194,13013,54,43
12:24:53,2867,29208,13013,54,29
12:24:58,2843,29232,13013,54,26
12:25:04,2747,29328,13013,54,34
12:25:09,2811,29264,13013,54,37
12:25:14,2795,29280,13013,54,16
12:25:20,2766,29309,13013,54,34
12:25:25,2756,29319,13013,54,39
12:25:31,2728,29347,13013,54,33
12:25:36,2691,29384,13013,54,24
12:25:41,2683,29392,13013,54,27
